ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
IDckGeWn1,16/01/17 17:41,8553419,136785,5393,2835657,f,Edge,Tablet,0
IDWO2FnzP,11/01/17 19:09,132504,580384,84974,17488931,e,Edge,,0
IDuMJmkqq,16/01/17 15:35,4095709,31893,835,26551485,d,Mozilla Firefox,,0
IDFIiB2zw,15/01/17 15:17,809608,722179,40339,49384126,b,Edge,Tablet,0
ID0zIn2Uc,18/01/17 16:55,6747754,861481,82396,17990842,a,Edge,Tablet,0
IDaJwzuQp,14/01/17 11:07,542878,253634,46450,47079934,b,Mozilla,Desktop,0
IDWr0tAOz,20/01/17 11:15,3594574,431724,33949,72749645,a,Edge,,0
IDsqSssXI,16/01/17 12:27,2761700,409619,80554,77896159,b,Firefox,Mobile,0
IDmIfeXuY,13/01/17 08:28,790013,686130,17714,74363610,a,,Mobile,0
IDaNgAuUi,19/01/17 11:56,6776258,440830,56027,54630329,a,Firefox,Mobile,0
IDU5v3Km1,17/01/17 13:57,1637229,492810,40339,71040875,e,Edge,Tablet,0
ID4mREboa,18/01/17 16:40,9536533,994229,42227,49384126,a,Mozilla,,0
IDfdsoKfa,20/01/17 08:40,7930294,985880,43897,78683718,b,InternetExplorer,Desktop,0
ID2ar22Kl,15/01/17 21:12,7872586,686054,904,26391770,e,Firefox,Mobile,0
IDXkpMbjp,17/01/17 10:23,689866,548704,44388,29916445,b,Firefox,Mobile,0
IDHNTktIV,18/01/17 09:11,4046571,843918,10327,74868704,b,InternetExplorer,,0
ID2TnMD84,15/01/17 23:10,8297917,953968,17714,61682792,b,Mozilla Firefox,Desktop,0
IDrn93O53,16/01/17 14:53,8988291,498318,14960,52437512,a,IE,Mobile,0
IDg4hYc84,18/01/17 16:58,2488024,502670,7169,26391770,b,Mozilla Firefox,Desktop,0
IDS8DayuY,18/01/17 17:30,824014,432274,70409,15961717,f,Firefox,Mobile,0
IDD0ck6cE,20/01/17 13:29,5218734,683474,34670,87807327,b,Firefox,Mobile,0
IDab0EUfw,11/01/17 19:27,1807051,89496,73248,61940782,a,Chrome,,0
IDjUyUV4w,16/01/17 14:58,4898728,888010,95113,65017662,a,Firefox,Mobile,0
IDT3G5qV8,20/01/17 12:01,5727650,850759,42227,96823930,a,,Desktop,0
IDK5rQbm0,14/01/17 11:12,,572252,84987,7181598,c,Mozilla Firefox,Desktop,0
IDTB9xv4h,16/01/17 05:42,1627558,981649,17714,26391770,b,Edge,Tablet,0
IDrtbYf8H,11/01/17 18:18,4093306,387792,97863,36994522,e,Firefox,Mobile,0
IDnA5xFGM,16/01/17 13:08,3752409,567091,84987,15961717,b,,,0
IDE77xba2,14/01/17 14:03,3933807,839426,10345,26461535,b,Mozilla,,0
IDhQWrLb4,12/01/17 09:49,7415351,736569,92704,7864011,b,Internet Explorer,Tablet,0
IDzbMsJb7,15/01/17 14:36,887675,824677,95113,65017662,e,Firefox,Mobile,0
IDpZAcel2,17/01/17 14:42,4004907,139711,40339,5675575,e,Firefox,Mobile,0
IDPH7oydD,14/01/17 02:54,1687763,735489,6906,99510044,e,Firefox,Mobile,0
ID6nyNmZX,11/01/17 16:10,5835169,905876,40339,43452411,d,Edge,Tablet,0
IDbUgoHph,15/01/17 05:09,,418920,95113,92640312,a,Mozilla,Desktop,0
ID7kSdhW6,15/01/17 13:23,623838,963807,48498,93157824,b,InternetExplorer,,0
IDyCrmdNr,11/01/17 14:06,5941697,304065,82396,16150900,b,Edge,Tablet,0
ID4F3gTrm,11/01/17 16:39,9072241,532405,17714,74363610,d,Firefox,Mobile,0
ID7NtFWRw,10/01/17 16:22,822880,574320,46450,54630329,b,Firefox,Mobile,0
IDpO59jky,11/01/17 15:53,1891392,25463,73362,67274540,b,Mozilla,Desktop,0
IDONyozZR,14/01/17 13:08,4784842,72078,97863,56008048,a,Mozilla Firefox,Desktop,0
IDbDGsBlx,20/01/17 16:58,2733703,690255,96973,62201833,e,Firefox,Mobile,0
IDpSI2hjf,11/01/17 22:46,59336,836901,46450,54630329,b,InternetExplorer,Desktop,1
IDVzTywSz,11/01/17 15:00,4695950,110095,835,26551485,b,Firefox,Mobile,0
ID4pUqSEe,13/01/17 09:22,3801148,845837,904,94350426,a,Firefox,Mobile,0
ID6kia2ge,17/01/17 14:41,2726856,137862,97863,96142930,f,Firefox,Mobile,0
IDAXedUE7,17/01/17 09:39,8048904,262480,1678,52437512,a,Firefox,Mobile,0
IDT6drbB6,12/01/17 10:22,,211363,95113,65017662,b,Firefox,Mobile,0
IDUMgZ0Td,12/01/17 05:42,6430244,525956,33287,46997962,d,Google Chrome,Mobile,0
IDrC0T54a,14/01/17 16:12,3365849,366976,82877,67290861,b,Edge,Tablet,0
IDFeK5sht,15/01/17 03:21,4628584,513523,6906,99510044,b,Edge,Tablet,0
IDj5SCbo8,11/01/17 19:34,9721029,664665,81229,98166279,b,Edge,Tablet,0
IDZc1QIPS,16/01/17 11:45,5599334,1628,59164,26391770,a,Firefox,Mobile,0
IDEzUGLOs,17/01/17 17:39,,169045,73248,61940782,a,Mozilla Firefox,Desktop,0
IDUQrEQXU,12/01/17 15:03,4905635,890496,42227,49384126,d,Edge,Tablet,0
IDjOtItzq,18/01/17 03:52,1950009,327791,33033,36994522,e,Chrome,Desktop,0
IDmmtXCJi,17/01/17 14:35,7930294,54549,42227,95013373,e,Firefox,,0
ID8qwKYXz,14/01/17 15:17,3287072,687169,40339,37135965,a,IE,Mobile,0
IDJm78OR7,20/01/17 16:03,1981010,801984,83091,83175152,d,Edge,Tablet,0
IDSJJuDP0,12/01/17 15:51,2807837,612787,904,74363610,b,Mozilla Firefox,Desktop,0
ID2k2yiTb,20/01/17 06:55,5306746,893846,42227,1189152,a,Edge,Tablet,0
IDwGHsnZg,12/01/17 13:12,7681203,581963,904,74363610,b,Edge,Tablet,0
ID4ekZQYQ,20/01/17 13:37,,790274,71642,83175152,a,Mozilla,Desktop,0
ID7OpBK1W,16/01/17 13:31,5238644,888517,49168,41631117,f,Mozilla Firefox,Desktop,0
ID4ty6Jno,16/01/17 06:54,8314723,673191,835,51637733,a,Edge,Tablet,0
IDMCFkFDo,11/01/17 08:49,8956254,704638,70409,49384126,b,Firefox,Mobile,0
IDJzwiR6E,11/01/17 15:07,4081703,454415,84228,74868704,a,Firefox,,0
IDFOi3gar,12/01/17 09:16,,879572,82877,67290861,b,Mozilla,Desktop,0
IDPwaSywq,13/01/17 09:21,9036588,544776,93286,52437512,d,Firefox,Mobile,0
IDGOkTXwP,13/01/17 14:52,,375926,83091,29916445,a,Edge,Tablet,0
IDDIFhtcm,20/01/17 17:26,6199738,223597,9764,37135965,a,InternetExplorer,Desktop,0
ID4w9NoTQ,11/01/17 09:24,6470324,579123,41640,74363610,b,Edge,Tablet,0
IDxJlPaeU,15/01/17 12:00,,330354,95113,65017662,a,,Desktop,0
IDeMzw6kY,17/01/17 10:33,8291855,921729,904,29916445,a,Firefox,Mobile,0
IDnZdqAkf,16/01/17 12:30,2860282,550575,40339,43452411,f,Mozilla,Desktop,0
IDZ4z6QeA,15/01/17 17:15,6522384,612422,42227,13742268,a,Mozilla Firefox,Desktop,0
IDFB7NWCj,17/01/17 07:19,161419,648614,96313,70496622,b,Firefox,Mobile,0
IDeGgYWv8,18/01/17 12:47,1003560,369413,82877,79906734,b,,,0
ID3D6j8X6,18/01/17 09:39,6278170,468407,24888,81758577,b,,Mobile,0
IDBuJLaUi,11/01/17 14:08,1668130,147673,96184,93157824,b,Google Chrome,Mobile,0
IDdBkwSbU,19/01/17 14:19,5805833,36330,14960,87807327,f,InternetExplorer,Desktop,0
IDungVVQG,12/01/17 17:37,1594968,68770,43612,74868704,b,Edge,Tablet,0
IDyPJqjeV,12/01/17 02:07,,996260,98552,17990842,d,Firefox,,0
IDGFkHXv1,17/01/17 16:11,4951497,7029,62809,29916445,a,Mozilla,Desktop,0
IDnuJIv1E,10/01/17 16:00,9846461,179893,12052,31388981,a,Edge,Tablet,0
IDojxJQXJ,14/01/17 08:52,9222917,720056,6906,99510044,a,,Tablet,0
ID4cDRPeN,10/01/17 18:12,1512420,996750,93286,9434818,b,Firefox,Mobile,0
IDIux4pZk,15/01/17 18:55,8639984,367766,73248,49384126,f,Mozilla Firefox,Desktop,0
IDByq5wtd,12/01/17 12:43,8072389,453822,8467,15961717,b,Edge,Tablet,0
IDtu7agFm,14/01/17 10:33,2899790,628605,97863,3156697,a,Edge,Tablet,0
IDh3bEoY7,13/01/17 13:25,142764,666091,41640,41441342,a,Mozilla Firefox,Desktop,0
IDpAVbx3a,13/01/17 13:04,1199396,874378,70409,43770446,b,Firefox,Mobile,0
IDOpXrwkF,16/01/17 17:32,8444048,564740,26966,2835657,b,Firefox,,0
IDlXvAKV0,20/01/17 08:21,5045682,855774,82877,33505809,e,,Mobile,0
ID2BdZ5DG,13/01/17 15:27,386795,82095,45620,31388981,b,Opera,Mobile,0
ID4rfn8z1,13/01/17 08:41,7080505,511052,3037,55358028,f,Firefox,Mobile,0
ID9T7BMZL,12/01/17 14:15,6680563,431916,73362,72161006,f,Edge,Tablet,0
ID2e4Deuk,13/01/17 12:07,,206156,54916,43526789,b,InternetExplorer,Desktop,0
IDH2WzRxB,12/01/17 19:25,9264749,419684,904,29916445,a,Edge,Tablet,0
IDUtX7Ux5,11/01/17 17:10,,129282,6906,99510044,b,IE,,0
IDXcGftCf,17/01/17 17:51,5843235,984663,5602,72451969,a,Google Chrome,Mobile,0
IDeyHh1V2,18/01/17 15:26,2025518,644907,98552,17990842,a,IE,Mobile,0
IDmNhEcRo,16/01/17 17:21,9068374,709291,42227,22339104,e,Edge,Tablet,0
IDiS1l613,17/01/17 06:50,960314,382869,40339,43452411,a,Edge,Tablet,0
IDZVCfKky,16/01/17 07:37,7894686,161456,54343,3638268,d,Mozilla Firefox,Desktop,0
IDld6vkYy,17/01/17 12:49,3402361,691686,27113,57977218,a,Edge,Tablet,0
IDe0LJccb,16/01/17 17:58,7803296,191706,97863,8837581,d,InternetExplorer,Desktop,1
IDfjZgefo,16/01/17 17:00,9054513,705346,41706,4000296,b,Firefox,Mobile,0
IDHCi3mZI,16/01/17 17:10,,954156,72276,20116446,b,,Tablet,0
IDxHLVDW4,20/01/17 02:05,5941074,345241,1678,37616751,b,Firefox,Mobile,0
IDyw2a2UU,17/01/17 11:36,9492849,725450,41640,74868704,a,Edge,Tablet,0
IDSkh7m4K,20/01/17 07:02,2846249,213191,5602,72451969,b,Edge,Tablet,0
IDMRb8KDR,18/01/17 15:32,1901017,245989,45620,31388981,b,Mozilla Firefox,,0
IDqAAHeF4,19/01/17 07:47,213717,11850,80524,3151081,a,Firefox,Mobile,0
IDTj0hH8a,16/01/17 17:43,,560425,63392,1185845,b,,Tablet,0
IDYezmurk,17/01/17 11:02,,573938,17118,17488931,f,Edge,,0
ID4Il0oJe,11/01/17 04:11,5056021,883466,40339,43452411,a,Firefox,Mobile,0
IDKbLhp64,13/01/17 15:56,2296566,261066,6906,99510044,c,InternetExplorer,,1
IDpmORkeD,10/01/17 17:01,3991170,246183,63392,20301556,a,Edge,Tablet,0
IDneho6CX,20/01/17 12:38,3976444,26572,24888,81758577,b,Edge,Tablet,0
ID4cyQQa9,14/01/17 09:21,6928955,143961,36768,555603,e,Edge,Tablet,0
IDbt9aUkB,13/01/17 13:29,7861095,972338,84974,58542454,e,Google Chrome,Mobile,0
IDYow1Muu,14/01/17 14:11,3161860,194899,54916,12817537,b,Edge,Tablet,0
IDh7wJzL4,12/01/17 12:41,5740665,754119,23283,26391770,b,,Desktop,0
IDip8pLc1,18/01/17 17:34,3853866,929819,97863,3156697,a,Mozilla,Desktop,0
IDTpN3X5M,17/01/17 15:17,2268541,186571,7107,99684291,a,Mozilla Firefox,,0
ID2FmQXQf,16/01/17 06:57,1455668,476987,6747,91553313,e,Mozilla,,0
IDF1fXN89,20/01/17 17:29,9321555,925780,33638,78406516,a,Firefox,Mobile,0
IDA0IUUNw,18/01/17 10:18,,428849,92704,95441506,b,Edge,Tablet,0
IDf6lCSDc,20/01/17 11:19,8998939,81354,95113,65017662,c,Google Chrome,Mobile,0
IDiUev3of,15/01/17 16:09,5372838,892357,1678,83172146,b,Firefox,Mobile,0
IDiiMiuCv,12/01/17 18:26,818353,69330,17714,74363610,b,Firefox,,0
IDTHvrXVo,18/01/17 03:33,1950009,922858,87895,61940782,e,InternetExplorer,Desktop,0
IDeYl2lUI,10/01/17 18:24,7390559,746527,42227,15961717,b,Mozilla Firefox,Desktop,0
IDgOBFAgO,19/01/17 05:54,1012721,942451,97863,96206255,e,Firefox,,0
IDieSYYQ4,17/01/17 17:34,1160262,857724,70409,17488931,b,Edge,Tablet,0
IDFPAuCkz,14/01/17 02:48,9931512,912168,904,20301556,b,Edge,Tablet,0
IDvnJ3TKw,16/01/17 14:43,6621695,658346,904,16340250,e,Mozilla,Desktop,0
IDOklDz5o,20/01/17 12:17,1198246,776031,5602,48425572,a,Firefox,Mobile,0
IDeGtOuS8,10/01/17 18:58,7977940,455620,40339,37135965,a,Edge,Tablet,0
IDF8R6Yei,19/01/17 13:07,2492649,744515,33287,91808273,a,Firefox,Mobile,0
IDGdfAlKs,12/01/17 09:52,9254552,139273,42227,73900798,b,Firefox,Mobile,0
ID1OeuCsY,16/01/17 17:02,7696252,164313,84974,78683718,c,Firefox,Mobile,0
IDEhAC0EJ,16/01/17 08:31,5232557,829933,1678,76464134,a,Edge,Tablet,0
ID77xvvIh,15/01/17 12:19,8658757,389757,53956,52437512,c,Mozilla,Desktop,0
IDomcMvgi,20/01/17 14:31,1934520,226105,33638,78406516,f,Google Chrome,Mobile,0
IDAcUJS3G,13/01/17 12:12,2146988,90393,33638,29916445,f,Edge,Tablet,0
IDnPfriWv,14/01/17 16:17,,49075,8467,99558603,b,Firefox,,0
IDhD04xHW,16/01/17 17:49,9107050,109370,33949,48644561,a,Chrome,Desktop,0
IDCaOFIE1,18/01/17 13:35,181361,710307,40339,43452411,f,Edge,Tablet,0
ID7vcS0CK,13/01/17 17:26,3116598,978183,57860,23588197,b,Mozilla,Desktop,0
ID9F5C5Wj,15/01/17 15:47,4768457,501908,17714,91553313,b,Firefox,,0
ID2bT4vyC,16/01/17 16:19,750073,715078,34670,69514806,f,Edge,,0
IDbBXYP4H,17/01/17 16:09,5532261,756693,34670,5016754,f,Edge,,0
ID7DOM79r,19/01/17 15:30,6782458,583468,54916,12817537,b,Firefox,Mobile,0
IDXGIPNKi,20/01/17 14:08,3805398,656966,40339,7122654,a,Edge,Tablet,0
IDhEePrGH,10/01/17 13:11,5818556,44241,62416,5716520,b,Mozilla,Desktop,0
IDnjJ7Atb,10/01/17 14:48,4890949,78522,2053,27723861,a,Firefox,Mobile,0
IDk84hogr,18/01/17 09:26,2797042,837689,17118,21153737,b,Edge,,0
IDn7pw0Xk,11/01/17 15:03,393763,479611,48498,77046603,a,Edge,Tablet,0
ID0am13QE,13/01/17 09:51,9052462,424070,904,58604466,a,Firefox,,0
IDVnWO4w0,20/01/17 14:37,4117744,467695,33638,47079934,b,Edge,Tablet,0
IDhVKdUCq,13/01/17 15:43,2022208,305857,42227,1436904,e,Firefox,Mobile,0
IDqcSgvac,16/01/17 14:47,8173104,32183,40339,43452411,b,Firefox,Mobile,0
IDCCrrDkQ,16/01/17 09:01,7750860,710307,40339,43452411,d,Firefox,Mobile,0
IDsHE4luK,14/01/17 12:54,,7029,62809,29916445,b,Firefox,,0
IDDyYBhtK,10/01/17 18:16,9053845,318949,93286,26989642,a,Edge,Tablet,0
IDURUaa5a,13/01/17 14:51,4637005,876194,904,20301556,a,Firefox,Mobile,0
IDIDT7gXs,14/01/17 08:20,98480,267775,15912,92826840,c,Mozilla,,0
IDWXPeMhz,20/01/17 11:03,7963978,203694,5602,72451969,d,,Tablet,0
IDPzjr7Oc,15/01/17 17:05,2694334,739586,5602,76683174,b,Edge,Tablet,0
IDnsewTTg,20/01/17 15:13,1496835,993035,21380,80720921,f,Chrome,Desktop,0
IDr3bi6jM,17/01/17 12:02,,883466,40339,43452411,d,Firefox,Mobile,0
IDSKol1Jk,17/01/17 17:25,6230882,684051,50088,57977218,b,,Mobile,0
IDGBjRpFi,20/01/17 13:19,3736866,929804,73362,86409024,f,,Tablet,0
IDnXn7wqQ,18/01/17 08:59,2765416,309567,43897,66240359,e,InternetExplorer,Desktop,0
IDSJKIfGA,10/01/17 16:07,,480104,84974,74699062,b,Firefox,Mobile,0
IDSwx85Cm,19/01/17 16:36,4910,718137,60316,7122654,b,Mozilla,Desktop,0
IDp0Ef4r0,17/01/17 10:11,1877442,25151,3643,555603,b,,,0
IDNi7laRE,15/01/17 18:04,6954201,845883,5445,58604466,d,Firefox,Mobile,0
ID3dHe5Zm,12/01/17 06:13,599838,627913,6906,99510044,b,Mozilla,Desktop,0
IDUJVB0hp,16/01/17 17:34,4372279,239748,6906,99510044,a,Edge,Tablet,0
ID9BrCfUS,13/01/17 08:13,1043601,879954,40339,13742268,e,Firefox,,0
IDOMboZhy,12/01/17 02:56,7509199,608166,45620,31388981,b,Firefox,Mobile,0
IDrS3ZMT7,11/01/17 19:57,3159105,20018,45620,20301556,b,Edge,Tablet,0
ID6oyuR6E,10/01/17 17:39,3855752,880551,8675,91808273,a,Mozilla,Desktop,0
IDF6QZOvz,19/01/17 10:19,9209165,678812,56027,31388981,a,Firefox,Mobile,0
IDbPUDk8o,20/01/17 10:50,6899804,570654,95113,65017662,a,,,0
IDQW8pcr7,20/01/17 15:07,36398,49659,41706,4000296,b,Firefox,Mobile,0
IDGS9p5Ky,20/01/17 12:56,,553414,6906,99510044,a,Google Chrome,Mobile,0
IDJHAA1GN,10/01/17 09:10,7965020,934576,36768,78406516,b,Mozilla Firefox,Desktop,0
IDdYfwHub,14/01/17 15:51,7954659,704410,56811,23703974,e,Firefox,Mobile,0
IDD8QwCaS,10/01/17 07:36,7078044,484386,82877,26120440,b,,Tablet,0
IDjC6LxIJ,19/01/17 15:56,1402501,229343,15124,99558603,b,Firefox,Mobile,0
IDtZi5Wcm,14/01/17 13:35,,780849,34670,20116446,a,InternetExplorer,Desktop,0
ID0U4uLhR,13/01/17 17:09,9469286,562863,3643,555603,d,InternetExplorer,Desktop,1
IDQJFiepb,13/01/17 17:51,2926138,11,904,26391770,d,Opera,Mobile,0
ID7EjUGtX,16/01/17 16:50,5929173,13008,84974,78683718,b,Firefox,Mobile,0
IDW01mwy2,19/01/17 14:50,8929699,98182,11987,16340250,e,Firefox,Mobile,0
IDtNcvlPA,12/01/17 10:22,502354,100298,6906,98830533,a,Mozilla Firefox,Desktop,0
IDJ1GwCyA,17/01/17 10:13,4688801,485576,34670,2835657,b,Firefox,Mobile,0
ID86WlOzV,14/01/17 08:42,9772568,148549,70409,47941469,b,,Desktop,0
IDuCo4hfN,17/01/17 21:56,2018643,187369,53835,26391770,c,Edge,Tablet,0
IDWgg1sdz,10/01/17 10:18,2841643,497539,2053,36082259,e,Edge,Tablet,0
ID9LhIGer,18/01/17 16:14,4160287,796454,97863,56008048,a,Firefox,Mobile,0
IDzD0JhAa,13/01/17 11:26,5402655,655538,41706,4000296,f,Mozilla Firefox,Desktop,0
IDW5UDzWH,16/01/17 10:09,2005202,922267,42227,70821774,b,Google Chrome,Mobile,0
IDHreOKEZ,11/01/17 17:40,1328286,614336,61208,91553313,b,Edge,,0
IDbQ5Dty9,11/01/17 11:01,9513546,452069,42227,96823930,a,Mozilla Firefox,Desktop,0
ID78tDgOS,13/01/17 09:45,8992517,260484,12211,58163546,b,Firefox,Mobile,0
IDUxnbsQ7,14/01/17 16:01,7351162,850820,56027,31388981,b,Mozilla Firefox,Desktop,0
IDXwdj33p,13/01/17 12:24,3954756,107863,42227,96823930,a,Google Chrome,Mobile,0
IDldVrMDn,11/01/17 17:30,6128186,96216,42227,30860214,b,Firefox,Mobile,0
IDu6ftnsV,20/01/17 10:42,2627839,70407,97863,3156697,e,Google Chrome,Mobile,0
IDf1Hg65U,20/01/17 10:14,2092822,704763,29183,42914671,b,Edge,Tablet,0
IDqJNjUrP,18/01/17 14:47,1266440,546543,17714,26391770,b,InternetExplorer,Desktop,0
IDUhBczBk,11/01/17 07:40,2691421,949662,82877,67290861,b,Safari,Tablet,0
ID1u0pbAC,17/01/17 15:33,6562346,54531,40339,71040875,b,Firefox,Mobile,0
IDoU7cMiH,15/01/17 11:40,9929337,438850,17714,74363610,b,Firefox,Mobile,0
IDDUHZoAs,20/01/17 15:13,1921783,44362,21407,59584425,b,Edge,Tablet,0
IDpdGnKSS,12/01/17 07:47,8737679,4403,21407,37236044,a,Edge,Tablet,0
IDEsA6qUY,19/01/17 16:50,2673485,251531,64452,77068781,c,InternetExplorer,,1
IDpRuYAsT,11/01/17 09:21,7215022,221009,21407,8837581,b,Edge,Tablet,0
IDNI9YgSE,16/01/17 08:06,5758890,40564,26966,61857025,b,Edge,Tablet,0
IDnt7FUSx,15/01/17 15:41,,72259,904,72297026,b,Mozilla Firefox,,0
IDzgBo4Ux,14/01/17 16:57,9295033,439376,26962,7122654,b,Mozilla Firefox,,0
IDSNPLbm4,11/01/17 18:49,6557759,51455,40339,13742268,b,Edge,,0
IDlvOsNn2,20/01/17 12:56,925332,328298,40339,43452411,b,Firefox,,0
IDRptjHPB,13/01/17 17:15,6034784,57430,40339,1436904,b,Firefox,Mobile,0
IDtyvdIDm,20/01/17 10:11,7930294,292911,40339,37135965,b,Firefox,Mobile,0
IDF4L37aP,11/01/17 02:53,7264122,773280,84144,42158923,b,Edge,Tablet,0
IDVpeR9Oq,12/01/17 10:48,4488235,180970,54343,4237811,b,Firefox,Mobile,0
ID6CV24sj,20/01/17 16:21,8381006,915183,82877,38492160,b,Firefox,,0
IDQm48CM6,13/01/17 11:52,8074189,964273,23283,26391770,b,Mozilla Firefox,Desktop,0
IDM3ZbkK2,13/01/17 13:29,1117497,671044,42227,1189152,b,Mozilla,,0
IDKY7QPut,17/01/17 06:51,9304067,522919,6906,99510044,c,Edge,,0
ID6zEYjn4,10/01/17 05:43,,594378,41706,4000296,b,Firefox,Mobile,0
IDuiMmfmq,10/01/17 15:01,8862449,36614,6906,99510044,a,Firefox,Mobile,0
IDGiJkTfl,12/01/17 12:24,3498967,505156,10345,17777318,b,Google Chrome,,0
IDCr7zmuQ,14/01/17 10:46,4462174,715396,904,74363610,b,,Desktop,0
IDzNrmcX7,12/01/17 11:43,4482576,576046,40050,91553313,a,Mozilla Firefox,Desktop,0
IDagAXzCg,13/01/17 16:24,1273789,919892,36610,29916445,a,Firefox,Mobile,0
IDRiWXqz9,20/01/17 16:08,7483326,742213,41210,26391770,b,Firefox,Mobile,0
IDWNJVaWE,13/01/17 11:11,3298470,712505,5602,43328787,b,Firefox,Mobile,0
IDoSWJPNg,15/01/17 18:53,8502400,563016,25491,79474990,a,Mozilla Firefox,Desktop,0
IDgVqAlUU,13/01/17 09:52,,451521,42227,43179292,a,Mozilla,Desktop,0
