,ID,datetime,siteid,offerid,category,merchant,countrycode,browserid,devid,click
113,IDwGHsnZg,12/01/17 13:12,7681203.0,581963,904,74363610,b,Edge,Tablet,0
114,ID4ekZQYQ,20/01/17 13:37,-1.0,790274,71642,83175152,a,Mozilla Firefox,Desktop,0
115,ID7OpBK1W,16/01/17 13:31,5238644.0,888517,49168,41631117,f,Mozilla Firefox,Desktop,0
116,ID4ty6Jno,16/01/17 06:54,8314723.0,673191,835,51637733,a,Edge,Tablet,0
117,IDMCFkFDo,11/01/17 08:49,8956254.0,704638,70409,49384126,b,Mozilla Firefox,Mobile,0
118,IDJzwiR6E,11/01/17 15:07,4081703.0,454415,84228,74868704,a,Mozilla Firefox,Desktop,0
119,IDFOi3gar,12/01/17 09:16,-1.0,879572,82877,67290861,b,Mozilla Firefox,Desktop,0
120,IDPwaSywq,13/01/17 09:21,9036588.0,544776,93286,52437512,d,Mozilla Firefox,Mobile,0
121,IDGOkTXwP,13/01/17 14:52,-1.0,375926,83091,29916445,a,Edge,Tablet,0
122,IDDIFhtcm,20/01/17 17:26,6199738.0,223597,9764,37135965,a,Internet Explorer,Desktop,0
123,ID4w9NoTQ,11/01/17 09:24,6470324.0,579123,41640,74363610,b,Edge,Tablet,0
124,IDxJlPaeU,15/01/17 12:00,-1.0,330354,95113,65017662,a,Mozilla Firefox,Desktop,0
125,IDeMzw6kY,17/01/17 10:33,8291855.0,921729,904,29916445,a,Mozilla Firefox,Mobile,0
126,IDnZdqAkf,16/01/17 12:30,2860282.0,550575,40339,43452411,f,Mozilla Firefox,Desktop,0
127,IDZ4z6QeA,15/01/17 17:15,6522384.0,612422,42227,13742268,a,Mozilla Firefox,Desktop,0
128,IDFB7NWCj,17/01/17 07:19,161419.0,648614,96313,70496622,b,Mozilla Firefox,Mobile,0
129,IDeGgYWv8,18/01/17 12:47,1003560.0,369413,82877,79906734,b,Mozilla Firefox,Mobile,0
130,ID3D6j8X6,18/01/17 09:39,6278170.0,468407,24888,81758577,b,Mozilla Firefox,Mobile,0
131,IDBuJLaUi,11/01/17 14:08,1668130.0,147673,96184,93157824,b,Google Chrome,Mobile,0
132,IDdBkwSbU,19/01/17 14:19,5805833.0,36330,14960,87807327,f,Internet Explorer,Desktop,0
133,IDungVVQG,12/01/17 17:37,1594968.0,68770,43612,74868704,b,Edge,Tablet,0
134,IDyPJqjeV,12/01/17 02:07,-1.0,996260,98552,17990842,d,Mozilla Firefox,Mobile,0
135,IDGFkHXv1,17/01/17 16:11,4951497.0,7029,62809,29916445,a,Mozilla Firefox,Desktop,0
136,IDnuJIv1E,10/01/17 16:00,9846461.0,179893,12052,31388981,a,Edge,Tablet,0
137,IDojxJQXJ,14/01/17 08:52,9222917.0,720056,6906,99510044,a,Edge,Tablet,0
138,ID4cDRPeN,10/01/17 18:12,1512420.0,996750,93286,9434818,b,Mozilla Firefox,Mobile,0
139,IDIux4pZk,15/01/17 18:55,8639984.0,367766,73248,49384126,f,Mozilla Firefox,Desktop,0
140,IDByq5wtd,12/01/17 12:43,8072389.0,453822,8467,15961717,b,Edge,Tablet,0
141,IDtu7agFm,14/01/17 10:33,2899790.0,628605,97863,3156697,a,Edge,Tablet,0
142,IDh3bEoY7,13/01/17 13:25,142764.0,666091,41640,41441342,a,Mozilla Firefox,Desktop,0
143,IDpAVbx3a,13/01/17 13:04,1199396.0,874378,70409,43770446,b,Mozilla Firefox,Mobile,0
144,IDOpXrwkF,16/01/17 17:32,8444048.0,564740,26966,2835657,b,Mozilla Firefox,Mobile,0
145,IDlXvAKV0,20/01/17 08:21,5045682.0,855774,82877,33505809,e,Mozilla Firefox,Mobile,0
146,ID2BdZ5DG,13/01/17 15:27,386795.0,82095,45620,31388981,b,Opera,Mobile,0
147,ID4rfn8z1,13/01/17 08:41,7080505.0,511052,3037,55358028,f,Mozilla Firefox,Mobile,0
148,ID9T7BMZL,12/01/17 14:15,6680563.0,431916,73362,72161006,f,Edge,Tablet,0
149,ID2e4Deuk,13/01/17 12:07,-1.0,206156,54916,43526789,b,Internet Explorer,Desktop,0
150,IDH2WzRxB,12/01/17 19:25,9264749.0,419684,904,29916445,a,Edge,Tablet,0
151,IDUtX7Ux5,11/01/17 17:10,-1.0,129282,6906,99510044,b,Internet Explorer,Desktop,0
152,IDXcGftCf,17/01/17 17:51,5843235.0,984663,5602,72451969,a,Google Chrome,Mobile,0
153,IDeyHh1V2,18/01/17 15:26,2025518.0,644907,98552,17990842,a,Internet Explorer,Mobile,0
154,IDmNhEcRo,16/01/17 17:21,9068374.0,709291,42227,22339104,e,Edge,Tablet,0
155,IDiS1l613,17/01/17 06:50,960314.0,382869,40339,43452411,a,Edge,Tablet,0
156,IDZVCfKky,16/01/17 07:37,7894686.0,161456,54343,3638268,d,Mozilla Firefox,Desktop,0
157,IDld6vkYy,17/01/17 12:49,3402361.0,691686,27113,57977218,a,Edge,Tablet,0
158,IDe0LJccb,16/01/17 17:58,7803296.0,191706,97863,8837581,d,Internet Explorer,Desktop,1
159,IDfjZgefo,16/01/17 17:00,9054513.0,705346,41706,4000296,b,Mozilla Firefox,Mobile,0
160,IDHCi3mZI,16/01/17 17:10,-1.0,954156,72276,20116446,b,Edge,Tablet,0
161,IDxHLVDW4,20/01/17 02:05,5941074.0,345241,1678,37616751,b,Mozilla Firefox,Mobile,0
162,IDyw2a2UU,17/01/17 11:36,9492849.0,725450,41640,74868704,a,Edge,Tablet,0
163,IDSkh7m4K,20/01/17 07:02,2846249.0,213191,5602,72451969,b,Edge,Tablet,0
164,IDMRb8KDR,18/01/17 15:32,1901017.0,245989,45620,31388981,b,Mozilla Firefox,Desktop,0
165,IDqAAHeF4,19/01/17 07:47,213717.0,11850,80524,3151081,a,Mozilla Firefox,Mobile,0
166,IDTj0hH8a,16/01/17 17:43,-1.0,560425,63392,1185845,b,Edge,Tablet,0
167,IDYezmurk,17/01/17 11:02,-1.0,573938,17118,17488931,f,Edge,Tablet,0
168,ID4Il0oJe,11/01/17 04:11,5056021.0,883466,40339,43452411,a,Mozilla Firefox,Mobile,0
169,IDKbLhp64,13/01/17 15:56,2296566.0,261066,6906,99510044,c,Internet Explorer,Desktop,1
170,IDpmORkeD,10/01/17 17:01,3991170.0,246183,63392,20301556,a,Edge,Tablet,0
171,IDneho6CX,20/01/17 12:38,3976444.0,26572,24888,81758577,b,Edge,Tablet,0
172,ID4cyQQa9,14/01/17 09:21,6928955.0,143961,36768,555603,e,Edge,Tablet,0
173,IDbt9aUkB,13/01/17 13:29,7861095.0,972338,84974,58542454,e,Google Chrome,Mobile,0
174,IDYow1Muu,14/01/17 14:11,3161860.0,194899,54916,12817537,b,Edge,Tablet,0
175,IDh7wJzL4,12/01/17 12:41,5740665.0,754119,23283,26391770,b,Mozilla Firefox,Desktop,0
176,IDip8pLc1,18/01/17 17:34,3853866.0,929819,97863,3156697,a,Mozilla Firefox,Desktop,0
177,IDTpN3X5M,17/01/17 15:17,2268541.0,186571,7107,99684291,a,Mozilla Firefox,Mobile,0
178,ID2FmQXQf,16/01/17 06:57,1455668.0,476987,6747,91553313,e,Mozilla Firefox,Mobile,0
179,IDF1fXN89,20/01/17 17:29,9321555.0,925780,33638,78406516,a,Mozilla Firefox,Mobile,0
180,IDA0IUUNw,18/01/17 10:18,-1.0,428849,92704,95441506,b,Edge,Tablet,0
181,IDf6lCSDc,20/01/17 11:19,8998939.0,81354,95113,65017662,c,Google Chrome,Mobile,0
182,IDiUev3of,15/01/17 16:09,5372838.0,892357,1678,83172146,b,Mozilla Firefox,Mobile,0
183,IDiiMiuCv,12/01/17 18:26,818353.0,69330,17714,74363610,b,Mozilla Firefox,Desktop,0
184,IDTHvrXVo,18/01/17 03:33,1950009.0,922858,87895,61940782,e,Internet Explorer,Desktop,0
185,IDeYl2lUI,10/01/17 18:24,7390559.0,746527,42227,15961717,b,Mozilla Firefox,Desktop,0
186,IDgOBFAgO,19/01/17 05:54,1012721.0,942451,97863,96206255,e,Mozilla Firefox,Desktop,0
187,IDieSYYQ4,17/01/17 17:34,1160262.0,857724,70409,17488931,b,Edge,Tablet,0
188,IDFPAuCkz,14/01/17 02:48,9931512.0,912168,904,20301556,b,Edge,Tablet,0
189,IDvnJ3TKw,16/01/17 14:43,6621695.0,658346,904,16340250,e,Mozilla Firefox,Desktop,0
190,IDOklDz5o,20/01/17 12:17,1198246.0,776031,5602,48425572,a,Mozilla Firefox,Mobile,0
191,IDeGtOuS8,10/01/17 18:58,7977940.0,455620,40339,37135965,a,Edge,Tablet,0
192,IDF8R6Yei,19/01/17 13:07,2492649.0,744515,33287,91808273,a,Mozilla Firefox,Mobile,0
193,IDGdfAlKs,12/01/17 09:52,9254552.0,139273,42227,73900798,b,Mozilla Firefox,Mobile,0
194,ID1OeuCsY,16/01/17 17:02,7696252.0,164313,84974,78683718,c,Mozilla Firefox,Mobile,0
195,IDEhAC0EJ,16/01/17 08:31,5232557.0,829933,1678,76464134,a,Edge,Tablet,0
196,ID77xvvIh,15/01/17 12:19,8658757.0,389757,53956,52437512,c,Mozilla Firefox,Desktop,0
197,IDomcMvgi,20/01/17 14:31,1934520.0,226105,33638,78406516,f,Google Chrome,Mobile,0
198,IDAcUJS3G,13/01/17 12:12,2146988.0,90393,33638,29916445,f,Edge,Tablet,0
199,IDnPfriWv,14/01/17 16:17,-1.0,49075,8467,99558603,b,Mozilla Firefox,Mobile,0
200,IDhD04xHW,16/01/17 17:49,9107050.0,109370,33949,48644561,a,Google Chrome,Desktop,0
201,IDCaOFIE1,18/01/17 13:35,181361.0,710307,40339,43452411,f,Edge,Tablet,0
202,ID7vcS0CK,13/01/17 17:26,3116598.0,978183,57860,23588197,b,Mozilla Firefox,Desktop,0
203,ID9F5C5Wj,15/01/17 15:47,4768457.0,501908,17714,91553313,b,Mozilla Firefox,Mobile,0
204,ID2bT4vyC,16/01/17 16:19,750073.0,715078,34670,69514806,f,Edge,Tablet,0
205,IDbBXYP4H,17/01/17 16:09,5532261.0,756693,34670,5016754,f,Edge,Tablet,0
206,ID7DOM79r,19/01/17 15:30,6782458.0,583468,54916,12817537,b,Mozilla Firefox,Mobile,0
207,IDXGIPNKi,20/01/17 14:08,3805398.0,656966,40339,7122654,a,Edge,Tablet,0
208,IDhEePrGH,10/01/17 13:11,5818556.0,44241,62416,5716520,b,Mozilla Firefox,Desktop,0
209,IDnjJ7Atb,10/01/17 14:48,4890949.0,78522,2053,27723861,a,Mozilla Firefox,Mobile,0
210,IDk84hogr,18/01/17 09:26,2797042.0,837689,17118,21153737,b,Edge,Tablet,0
211,IDn7pw0Xk,11/01/17 15:03,393763.0,479611,48498,77046603,a,Edge,Tablet,0
212,ID0am13QE,13/01/17 09:51,9052462.0,424070,904,58604466,a,Mozilla Firefox,Desktop,0
213,IDVnWO4w0,20/01/17 14:37,4117744.0,467695,33638,47079934,b,Edge,Tablet,0
214,IDhVKdUCq,13/01/17 15:43,2022208.0,305857,42227,1436904,e,Mozilla Firefox,Mobile,0
215,IDqcSgvac,16/01/17 14:47,8173104.0,32183,40339,43452411,b,Mozilla Firefox,Mobile,0
216,IDCCrrDkQ,16/01/17 09:01,7750860.0,710307,40339,43452411,d,Mozilla Firefox,Mobile,0
217,IDsHE4luK,14/01/17 12:54,-1.0,7029,62809,29916445,b,Mozilla Firefox,Mobile,0
218,IDDyYBhtK,10/01/17 18:16,9053845.0,318949,93286,26989642,a,Edge,Tablet,0
219,IDURUaa5a,13/01/17 14:51,4637005.0,876194,904,20301556,a,Mozilla Firefox,Mobile,0
220,IDIDT7gXs,14/01/17 08:20,98480.0,267775,15912,92826840,c,Mozilla Firefox,Mobile,0
221,IDWXPeMhz,20/01/17 11:03,7963978.0,203694,5602,72451969,d,Edge,Tablet,0
222,IDPzjr7Oc,15/01/17 17:05,2694334.0,739586,5602,76683174,b,Edge,Tablet,0
223,IDnsewTTg,20/01/17 15:13,1496835.0,993035,21380,80720921,f,Google Chrome,Desktop,0
224,IDr3bi6jM,17/01/17 12:02,-1.0,883466,40339,43452411,d,Mozilla Firefox,Mobile,0
225,IDSKol1Jk,17/01/17 17:25,6230882.0,684051,50088,57977218,b,Mozilla Firefox,Mobile,0
226,IDGBjRpFi,20/01/17 13:19,3736866.0,929804,73362,86409024,f,Edge,Tablet,0
227,IDnXn7wqQ,18/01/17 08:59,2765416.0,309567,43897,66240359,e,Internet Explorer,Desktop,0
228,IDSJKIfGA,10/01/17 16:07,-1.0,480104,84974,74699062,b,Mozilla Firefox,Mobile,0
229,IDSwx85Cm,19/01/17 16:36,4910.0,718137,60316,7122654,b,Mozilla Firefox,Desktop,0
230,IDp0Ef4r0,17/01/17 10:11,1877442.0,25151,3643,555603,b,Mozilla Firefox,Desktop,0
231,IDNi7laRE,15/01/17 18:04,6954201.0,845883,5445,58604466,d,Mozilla Firefox,Mobile,0
232,ID3dHe5Zm,12/01/17 06:13,599838.0,627913,6906,99510044,b,Mozilla Firefox,Desktop,0
233,IDUJVB0hp,16/01/17 17:34,4372279.0,239748,6906,99510044,a,Edge,Tablet,0
234,ID9BrCfUS,13/01/17 08:13,1043601.0,879954,40339,13742268,e,Mozilla Firefox,Desktop,0
235,IDOMboZhy,12/01/17 02:56,7509199.0,608166,45620,31388981,b,Mozilla Firefox,Mobile,0
236,IDrS3ZMT7,11/01/17 19:57,3159105.0,20018,45620,20301556,b,Edge,Tablet,0
237,ID6oyuR6E,10/01/17 17:39,3855752.0,880551,8675,91808273,a,Mozilla Firefox,Desktop,0
238,IDF6QZOvz,19/01/17 10:19,9209165.0,678812,56027,31388981,a,Mozilla Firefox,Mobile,0
239,IDbPUDk8o,20/01/17 10:50,6899804.0,570654,95113,65017662,a,Mozilla Firefox,Desktop,0
240,IDQW8pcr7,20/01/17 15:07,36398.0,49659,41706,4000296,b,Mozilla Firefox,Mobile,0
241,IDGS9p5Ky,20/01/17 12:56,-1.0,553414,6906,99510044,a,Google Chrome,Mobile,0
242,IDJHAA1GN,10/01/17 09:10,7965020.0,934576,36768,78406516,b,Mozilla Firefox,Desktop,0
243,IDdYfwHub,14/01/17 15:51,7954659.0,704410,56811,23703974,e,Mozilla Firefox,Mobile,0
244,IDD8QwCaS,10/01/17 07:36,7078044.0,484386,82877,26120440,b,Edge,Tablet,0
245,IDjC6LxIJ,19/01/17 15:56,1402501.0,229343,15124,99558603,b,Mozilla Firefox,Mobile,0
246,IDtZi5Wcm,14/01/17 13:35,-1.0,780849,34670,20116446,a,Internet Explorer,Desktop,0
247,ID0U4uLhR,13/01/17 17:09,9469286.0,562863,3643,555603,d,Internet Explorer,Desktop,1
248,IDQJFiepb,13/01/17 17:51,2926138.0,11,904,26391770,d,Opera,Mobile,0
249,ID7EjUGtX,16/01/17 16:50,5929173.0,13008,84974,78683718,b,Mozilla Firefox,Mobile,0
250,IDW01mwy2,19/01/17 14:50,8929699.0,98182,11987,16340250,e,Mozilla Firefox,Mobile,0
251,IDtNcvlPA,12/01/17 10:22,502354.0,100298,6906,98830533,a,Mozilla Firefox,Desktop,0
252,IDJ1GwCyA,17/01/17 10:13,4688801.0,485576,34670,2835657,b,Mozilla Firefox,Mobile,0
253,ID86WlOzV,14/01/17 08:42,9772568.0,148549,70409,47941469,b,Mozilla Firefox,Desktop,0
254,IDuCo4hfN,17/01/17 21:56,2018643.0,187369,53835,26391770,c,Edge,Tablet,0
255,IDWgg1sdz,10/01/17 10:18,2841643.0,497539,2053,36082259,e,Edge,Tablet,0
256,ID9LhIGer,18/01/17 16:14,4160287.0,796454,97863,56008048,a,Mozilla Firefox,Mobile,0
